alpha,V
3500,0.34
3400,0.34
3300,0.35
3200,0.44
3100,1.60
3000,4.05
2900,5.90
2800,7.40
2700,8.60
2600,2.87
2500,0.82
2400,0.53
2300,0.39
2200,0.33
2100,0.30
2000,0.33
1900,0.30
1800,0.32
1700,0.29
1600,0.31
1500,0.31
