I,V
0.1,8
0.2,12
0.3,17
0.4,22
0.5,28
0.6,32
0.7,37
0.8,41
0.9,47
1.0,52
-0.1,-2
-0.2,-7
-0.3,-12
-0.4,-17
-0.5,-22
-0.6,-28
-0.7,-32
-0.8,-37
-1.0,-47
