V,I
2.45,20
2.84,40
3.23,60
3.52,80
3.75,100
3.92,120
4.28,140
4.58,160
4.80,180
5.16,200
5.24,220
5.45,240
5.62,260
5.75,280
5.98,300
6.12,320
6.30,340
6.43,360
7.00,380
7.07,400
7.25,420
7.56,440
7.49,460
7.61,480
8.08,500
8.21,520
8.35,540
8.50,560
8.56,580
8.62,600
