V,I
2.08,20
2.38,40
2.77,60
3.11,80
3.31,100
3.61,120
3.68,140
3.99,160
4.18,180
4.44,200
4.91,220
5.25,240
5.44,260
5.60,280
5.89,300
6.02,320
6.12,340
6.28,360
6.63,380
6.87,400
7.02,420
7.17,440
7.42,460
7.60,480
7.73,500
7.82,520
7.97,540
8.02,560
8.27,580
8.43,600
